id,message_id,content,user_id,session_id,reply_to_message_id,created_at
1,OrovKJP0X4nJgcs22N6cxfLSwYVFGbWu,Hello,1,1,,2024-06-08 11:19:08.554499
2,HaeW3cjL3Le0tG6nMgeDIGhLNQJUiyBD,Hello,2,1,,2024-06-08 11:19:25.688585
3,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-08 11:19:33.626896
4,Eu_xfAD9UlAaGTnwn_-47div04TIFrgT,Hi guy! Tell me when you're in!,1,2,,2024-06-08 14:43:54.271714
5,EVB9LR-mGYdwFIHDYhmpiujn-MqonwYJ,Hi! I'm there!,2,2,,2024-06-08 14:44:49.408837
6,f5WIbMIZg7sFZzNvd4Cyp0O_Qq6SlHMP,"Nice, let's start!",1,2,,2024-06-08 14:44:54.566357
7,DzkkpbEfZfJi7F3YJrGy92X4UVOx46gn,How are you ?,1,2,,2024-06-08 14:45:00.000091
8,DzkkpbEfZfJi7F3YJrGy92X4UVOx46gn,How are you?,1,2,,2024-06-08 14:45:04.245050
9,tT6ISRY07tSjU_3F7S6nKpp_8-AsL9Gq,"Find, and you?",2,2,,2024-06-08 14:45:08.974191
10,zoktjeHEDCxwa1yIbWDvPnnZujdUEgYY,Fine thank's!,1,2,,2024-06-08 14:45:17.393705
11,tT6ISRY07tSjU_3F7S6nKpp_8-AsL9Gq,"Fine, and you?",2,2,,2024-06-08 14:45:26.192254
12,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you,1,1,,2024-06-10 11:59:19.361847
13,OkmCuOpvJNU1EXFiOjwY_BFxG6SN2Tof,How are you?,1,1,,2024-06-10 11:59:23.143586
14,diZRMUgiHi58DzuhadkNnqlv_PmRfGUt,Ceci est un test. Ceci est un test.Ceci est un test.Ceci est un test.Ceci est un test.Ceci est un test.Ceci est un test.,1,3,,2024-06-10 17:09:19.112091
15,MLfXx7jCg0tEr0wDdNCy4qBO6jSiSZlY,Ceci est un test.,1,3,,2024-06-10 17:09:21.640431
